school_name,state,number_of_ratings,facilities,location,happiness,opportunities,clubs,social,safety,food,internet
Bard College,New York,108.0,3.9,3.4,4.1,3.7,3.6,3.3,4.3,2.8,3.3
Bastyr University,Washington,13.0,2.5,3.2,2.9,2.6,2.6,2.2,4.3,3.2,2.9
Arcadia University,Pennsylvania,129.0,3.8,3.6,3.5,3.5,3.2,3.0,4.0,2.4,2.7
Baylor College of Medicine,Texas,4.0,3.5,5.0,5.0,5.0,3.8,4.0,5.0,3.5,5.0
Baylor University,Texas,175.0,4.5,3.3,4.2,4.3,3.9,3.9,3.7,3.6,3.5
Bellevue University,Nebraska,47.0,3.4,3.5,3.3,3.3,2.7,2.8,3.4,3.2,3.8
Bellarmine University,Kentucky,195.0,3.9,4.3,3.9,4.0,3.5,3.2,4.5,2.8,3.2
Beloit College,Wisconsin,50.0,4.1,3.0,4.3,4.0,4.2,4.1,4.0,2.8,3.4
Belmont University,Tennessee,373.0,4.3,4.5,3.9,4.1,3.4,3.4,4.0,2.6,3.2
Bennington College,Vermont,22.0,4.4,3.0,3.8,3.8,3.0,3.2,4.2,3.7,3.0
Belmont Abbey College,North Carolina,49.0,3.5,4.0,3.4,3.3,2.8,3.1,3.9,2.6,3.3
Bemidji State University,Minnesota,138.0,3.8,4.1,3.8,3.3,3.2,3.3,4.1,2.9,3.4
Benedictine College,Kansas,73.0,4.1,3.0,4.2,3.8,3.4,3.8,4.5,2.4,2.6
Berea College,Kentucky,92.0,3.6,3.4,3.6,4.1,3.3,3.2,3.7,2.6,3.0
Bentley University,Massachusetts,261.0,4.2,4.1,4.3,4.6,3.7,3.6,4.5,2.6,3.8
Bethany College,Kansas,6.0,3.3,2.7,3.0,2.8,2.2,2.7,3.0,2.7,2.8
Berklee College of Music,Massachusetts,218.0,3.5,4.3,4.1,4.4,3.5,3.7,3.5,3.0,3.6
Bethune-Cookman University,Florida,45.0,3.0,3.0,3.4,3.4,3.7,3.5,3.5,2.5,2.9
Bethel University,Indiana,26.0,3.7,3.8,3.9,3.3,2.8,3.3,4.4,2.7,3.5
Bethel College,Kansas,9.0,3.4,3.3,3.9,3.7,3.4,3.4,4.8,2.3,3.1
Biola University,California,229.0,4.4,4.2,4.6,4.2,4.0,4.1,4.8,3.7,3.6
Boise State University,Idaho,474.0,3.9,4.2,3.9,3.5,3.4,3.5,4.2,3.3,3.4
Boston Graduate School of Psychoanalysis,Massachusetts,13.0,3.8,4.6,4.0,3.8,3.5,3.7,5.0,3.5,3.9
Black Hills State University,South Dakota,44.0,3.5,4.2,3.3,3.0,3.0,2.8,4.2,3.0,2.4
Boston Architectural College,Massachusetts,17.0,2.4,4.3,2.5,2.7,2.2,2.4,4.2,1.9,2.9
Bob Jones University,South Carolina,46.0,3.9,4.1,3.8,3.8,2.9,3.3,4.1,3.1,3.2
Bluffton University,Ohio,17.0,4.0,3.9,4.6,4.2,4.2,3.8,4.5,3.1,3.8
Bowdoin College,Maine,49.0,4.8,4.4,4.7,4.6,4.4,4.1,4.7,4.9,4.3
Boston University,Massachusetts,542.0,3.7,4.5,4.0,4.1,4.0,3.7,4.2,3.7,3.7
Bowling Green State University,Ohio,555.0,4.1,3.7,4.2,4.0,4.1,4.1,4.4,3.3,3.3
Bradley University,Illinois,230.0,3.7,3.1,4.0,4.0,3.8,3.7,3.2,2.9,2.8
Brandeis University,Massachusetts,170.0,3.4,3.6,4.0,3.9,4.0,3.3,4.5,2.6,3.7
Bowie State University,Maryland,154.0,3.2,3.1,3.2,3.1,3.0,3.0,3.5,2.5,2.8
Brenau University,Georgia,55.0,2.9,3.1,3.3,3.4,3.1,3.1,3.3,2.4,2.7
Bridgewater College,Virginia,112.0,3.5,3.4,3.6,3.4,3.3,3.2,4.1,2.5,3.2
