school_name,state,number_of_ratings,facilities,location,happiness,opportunities,clubs,social,safety,food,internet
St. Joseph's College,Indiana,5.0,3.0,2.6,4.0,3.2,2.8,3.8,5.0,2.0,2.4
University of Saint Joseph,Connecticut,48.0,3.5,3.6,3.0,3.3,2.5,2.2,4.2,2.6,3.5
St. John's College,Maryland,16.0,3.5,3.3,3.9,3.6,3.5,3.2,4.5,2.4,3.1
Saint Joseph's College,Maine,38.0,3.3,3.3,3.0,3.0,2.9,2.9,4.5,3.4,3.0
St. John's College,New Mexico,13.0,3.5,4.4,3.6,3.6,3.9,3.8,2.8,3.0,3.2
Saint Joseph's University,Pennsylvania,233.0,3.9,3.9,3.9,3.9,3.6,3.5,3.2,2.5,3.1
Saint Leo University,Florida,261.0,3.0,2.4,2.8,2.8,2.6,2.6,2.9,2.4,2.6
Saint Martin's University,Washington,60.0,3.6,3.9,3.4,3.5,3.2,3.1,4.0,2.9,2.6
University of Saint Mary,Kansas,21.0,2.9,2.8,3.2,2.9,2.6,2.9,4.6,2.2,3.2
St. Louis College of Pharmacy,Missouri,40.0,2.7,3.6,2.7,3.5,2.5,2.3,3.4,2.4,3.0
Saint Mary-of-the-Woods College,Indiana,23.0,3.7,3.7,3.3,3.0,2.7,3.0,4.4,2.6,3.6
Saint Mary's College of California,California,128.0,4.0,3.8,3.9,3.9,3.6,3.3,4.3,2.9,3.4
Saint Mary's College,Indiana,83.0,3.9,3.5,4.1,3.9,3.5,3.6,4.0,2.9,3.0
St. Mary's University,Texas,99.0,3.7,3.1,3.9,3.7,3.5,3.6,3.6,3.0,3.5
St. Mary's College of Maryland,Maryland,115.0,3.7,3.5,3.6,3.3,3.4,3.2,4.1,3.4,2.5
Saint Mary's University of Minnesota,Minnesota,33.0,3.7,3.5,3.7,3.6,3.3,3.2,4.6,3.0,2.9
Saint Michael's College,Vermont,75.0,4.0,4.2,4.3,3.8,3.9,4.0,4.4,3.0,3.7
Saint Peter's University,New Jersey,86.0,3.0,3.4,3.5,3.4,3.5,3.2,3.4,2.7,2.5
Saint Vincent College,Pennsylvania,86.0,3.6,3.3,3.5,3.6,3.2,3.0,3.9,2.4,2.7
Saint Xavier University,Illinois,133.0,3.5,3.8,3.7,3.6,3.0,2.9,4.4,2.8,3.3
St. Thomas University,Florida,46.0,3.4,2.8,3.3,3.3,3.1,2.9,3.8,2.5,3.5
Salem State University,Massachusetts,290.0,3.2,3.5,3.4,3.3,3.1,2.9,3.5,2.5,2.7
Salve Regina University,Rhode Island,129.0,4.1,4.6,3.9,3.8,3.4,3.3,4.5,2.6,3.2
Salem College,North Carolina,31.0,3.6,3.6,3.2,3.6,3.1,3.1,3.5,2.2,2.8
Sam Houston State University,Texas,534.0,4.2,3.6,4.2,3.9,3.6,3.7,4.1,3.5,4.0
Salish Kootenai College,Montana,5.0,3.8,3.8,3.4,3.0,1.8,2.2,3.0,3.4,3.0
Salisbury University,Maryland,308.0,4.0,3.4,4.1,3.6,3.7,3.7,3.3,3.8,3.3
Samford University,Alabama,206.0,4.3,4.4,4.2,4.2,3.7,3.6,4.7,2.8,3.1
San Diego State University,California,699.0,4.2,4.2,4.2,4.0,4.0,4.2,3.2,3.7,3.9
San Francisco State University,California,615.0,3.7,3.9,3.6,3.4,3.1,3.0,3.2,3.3,3.4
San Francisco Conservatory of Music,California,24.0,4.1,4.3,3.7,4.0,2.5,3.4,4.0,2.8,3.6
San Jose State University,California,516.0,3.5,3.5,3.6,3.6,3.4,3.3,2.3,3.2,3.2
Santa Clara University,California,245.0,4.4,4.4,4.3,4.3,3.7,3.8,4.1,3.4,3.8
School of the Art Institute of Chicago,Illinois,39.0,3.5,4.5,3.9,3.7,2.9,3.2,3.2,2.6,4.1
Scripps College,California,37.0,4.9,4.3,4.5,4.2,4.1,4.0,4.5,4.6,4.1
Sarah Lawrence College,New York,76.0,3.5,4.1,3.9,3.9,3.2,2.9,3.8,2.8,3.6
Seattle Pacific University,Washington,183.0,3.4,4.3,3.3,3.6,2.9,2.9,4.1,2.9,3.8
Savannah College of Art and Design,Georgia,513.0,3.9,3.9,4.0,4.2,3.5,3.6,3.4,2.8,3.4
Seattle University,Washington,250.0,4.2,4.5,3.9,3.9,3.5,3.2,3.4,3.7,3.5
Seton Hall University,New Jersey,332.0,3.5,3.0,3.6,3.8,3.3,3.1,3.5,2.6,3.3
Seton Hill University,Pennsylvania,58.0,3.4,3.5,3.5,3.2,3.0,2.7,4.7,2.9,3.3
Schreiner University,Texas,44.0,4.0,3.8,3.8,3.4,3.2,3.4,4.1,3.2,3.1
Shawnee State University,Ohio,114.0,3.9,3.0,3.9,3.2,3.2,3.2,4.4,2.9,2.9
Shenandoah University,Virginia,87.0,3.0,3.3,3.4,3.3,2.7,2.8,4.2,2.3,3.1
Siena College,New York,192.0,3.9,4.0,3.9,4.2,3.8,3.6,4.4,2.8,3.2
Shepherd University,West Virginia,165.0,3.4,3.5,3.3,3.1,3.0,3.1,3.7,2.6,2.8
Shippensburg University of Pennsylvania,Pennsylvania,91.0,4.0,3.3,3.8,3.7,3.8,3.6,4.2,3.2,3.0
Shorter University,Georgia,24.0,3.0,3.9,3.7,3.6,3.1,3.1,4.0,2.6,2.8
Bard College at Simon's Rock,Massachusetts,55.0,3.2,2.5,3.7,3.3,2.9,3.0,3.1,2.2,2.4
Simpson College,Iowa,36.0,4.1,4.0,4.1,4.0,3.6,3.8,4.2,2.7,3.0
Sinte Gleska University,South Dakota,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.5,3.0,4.0
Simmons University,Massachusetts,138.0,3.4,4.5,3.5,3.7,3.2,2.9,4.1,2.4,3.2
Simpson University,California,26.0,3.4,3.5,3.1,3.0,3.2,3.0,3.3,2.6,3.6
Slippery Rock University,Pennsylvania,283.0,4.2,3.4,4.1,3.8,4.0,3.8,4.2,3.1,3.1
Skidmore College,New York,117.0,4.0,4.2,4.1,3.9,3.8,3.4,4.5,4.1,3.3
Smith College,Massachusetts,176.0,4.5,4.2,4.4,4.4,3.8,3.6,4.8,3.5,3.8
South Carolina State University,South Carolina,23.0,2.7,2.7,3.9,3.2,3.2,3.5,2.0,2.8,2.6
Sonoma State University,California,294.0,4.2,3.6,3.7,3.3,3.3,3.1,3.6,3.1,3.4
South Dakota School of Mines and Technology,South Dakota,122.0,3.2,3.5,3.3,4.1,3.6,2.8,3.6,2.1,2.7
South Dakota State University,South Dakota,223.0,3.8,3.5,3.9,3.7,3.6,3.5,4.3,3.1,3.0
Southeast Missouri State University,Missouri,266.0,3.8,3.7,4.0,3.6,3.7,3.7,3.6,3.1,3.2
Southern Adventist University,Georgia,134.0,4.1,4.0,4.0,3.7,3.4,3.5,4.2,3.0,3.6
Vanguard University of Southern California,California,77.0,3.6,4.6,3.9,3.7,3.1,3.5,4.4,2.9,3.0
Southeastern Oklahoma State University,Oklahoma,46.0,3.3,3.3,3.6,3.2,3.0,3.1,3.7,3.0,3.5
Southern Connecticut State University,Connecticut,260.0,3.4,3.2,3.4,3.3,3.4,3.2,3.6,2.5,3.2
Southern Illinois University - Carbondale,Illinois,264.0,3.8,3.6,3.8,3.5,3.6,3.6,3.3,3.1,3.3
Southern Nazarene University,Oklahoma,28.0,3.5,3.3,3.1,3.4,3.0,3.1,4.4,2.3,2.9
Southern Oregon University,Oregon,132.0,3.6,3.8,3.5,2.9,3.1,3.0,4.2,2.5,3.1
Southern Utah University,Utah,321.0,4.2,3.9,4.2,3.8,3.8,3.7,4.5,3.2,3.8
Southern Wesleyan University,South Carolina,17.0,4.2,3.9,4.2,4.1,3.1,3.9,3.9,3.4,3.1
Missouri State University,Missouri,501.0,4.1,4.0,4.2,4.0,3.9,3.9,3.6,3.3,3.5
Texas State University,Texas,994.0,4.3,4.4,4.4,4.1,4.2,4.3,3.7,3.5,3.8
Southwest Minnesota State University,Minnesota,64.0,3.5,3.2,3.8,3.5,3.3,3.1,4.4,2.9,3.3
Southwestern Christian College,Texas,1.0,3.0,4.0,5.0,5.0,3.0,2.0,4.0,3.0,3.0
Southwest Baptist University,Missouri,35.0,3.4,3.4,4.1,3.9,3.6,3.7,4.5,2.7,3.3
Southwestern Adventist University,Texas,33.0,3.1,3.0,3.0,3.2,2.7,2.9,4.4,2.6,2.8
Southwestern College,California,286.0,3.8,4.1,3.8,3.7,3.3,3.2,4.3,3.3,3.6
Southwestern Oklahoma State University,Oklahoma,76.0,3.5,2.9,3.7,3.3,2.8,3.0,4.4,3.1,3.0
Southwestern College,Kansas,9.0,3.8,3.6,3.8,3.3,3.1,3.6,5.0,3.1,3.6
Spalding University,Kentucky,16.0,3.7,3.6,4.9,4.3,3.0,3.5,3.6,3.4,4.2
Southwestern University,Texas,122.0,4.0,3.8,4.0,4.2,3.5,3.5,4.2,2.5,3.1
Spring Hill College,Alabama,49.0,4.1,4.0,4.2,3.8,3.6,3.6,4.1,3.0,3.1
Springfield College,Massachusetts,69.0,3.8,2.4,3.8,3.7,3.5,3.4,2.7,3.1,2.6
Spartanburg Methodist College,South Carolina,22.0,3.3,3.1,3.5,3.4,3.3,3.1,3.4,2.5,3.5
Spring Arbor University,Michigan,55.0,3.8,2.9,3.3,3.6,2.8,3.2,4.4,2.6,3.3
Stanford University,California,109.0,4.5,4.4,4.2,4.6,4.0,4.0,4.5,3.8,4.3
SUNY Fredonia,New York,227.0,3.8,3.4,3.7,3.4,3.9,3.6,3.9,2.9,3.5
SUNY Geneseo,New York,355.0,3.5,3.0,3.5,3.3,3.4,3.3,3.6,2.6,2.9
SUNY Cortland,New York,246.0,4.0,3.1,3.9,3.7,4.0,4.0,3.8,3.1,2.7
SUNY Old Westbury,New York,171.0,3.1,3.4,3.1,3.1,2.9,2.7,3.7,2.6,3.1
SUNY Oneonta,New York,281.0,4.1,3.5,4.0,3.7,4.0,4.0,4.2,3.0,3.4
SUNY Plattsburgh,New York,220.0,3.6,3.4,3.9,3.4,3.7,3.7,3.7,2.8,3.4
SUNY Potsdam,New York,137.0,3.7,3.1,3.8,3.5,3.7,3.5,4.0,3.9,3.0
SUNY Oswego,New York,383.0,3.6,3.4,3.8,3.5,3.7,3.7,3.7,3.2,3.0
SUNY College of Environmental Science and Forestry,New York,80.0,3.3,3.3,3.4,3.8,3.7,3.3,3.3,2.8,3.0
SUNY Cobleskill,New York,97.0,3.2,3.0,3.2,3.3,3.1,2.9,3.6,2.8,2.6
Fashion Institute of Technology,New York,350.0,3.0,4.4,3.6,4.1,3.2,2.7,3.9,2.5,3.2
SUNY Maritime College,New York,58.0,3.0,3.3,2.7,4.3,2.6,2.1,4.2,2.0,1.9
University of West Georgia,Georgia,339.0,3.9,3.3,3.9,3.5,3.4,3.5,3.2,3.2,3.0
Stephens College,Missouri,21.0,3.6,4.4,4.1,4.2,3.2,3.4,4.1,2.6,3.3
Sterling College,Kansas,10.0,4.2,3.7,4.8,4.2,4.0,4.3,5.0,4.0,3.3
Stephen F. Austin State University,Texas,399.0,4.2,3.5,4.2,3.7,3.9,3.9,4.1,3.0,3.3
Stetson University,Florida,177.0,3.9,3.5,3.9,3.8,3.7,3.6,3.8,2.7,3.5
Stonehill College,Massachusetts,138.0,4.2,3.8,4.0,4.3,3.5,3.2,4.3,3.0,3.2
Suffolk University,Massachusetts,300.0,3.5,4.6,4.0,3.9,3.6,3.4,3.6,2.7,3.8
Stevens Institute of Technology,New Jersey,157.0,3.5,4.8,3.7,4.2,3.6,3.4,4.4,3.1,3.6
Syracuse University,New York,430.0,4.2,3.3,4.1,4.1,3.9,4.1,2.9,3.2,3.9
Sul Ross State University,Texas,24.0,3.7,3.3,3.7,3.2,2.7,3.0,3.7,2.5,3.9
Stillman College,Alabama,10.0,2.1,2.3,2.0,2.2,2.1,2.0,1.0,1.7,1.9
Swarthmore College,Pennsylvania,61.0,4.5,4.2,4.0,4.3,4.0,3.5,4.7,3.2,4.0
Susquehanna University,Pennsylvania,143.0,3.8,2.9,3.6,3.5,3.3,3.2,4.1,2.6,3.2
Tabor College,Kansas,9.0,2.6,2.1,2.7,2.8,3.0,2.8,3.0,3.1,2.8
Sweet Briar College,Virginia,42.0,4.4,3.8,4.2,4.0,3.8,3.6,4.7,3.1,3.5
Tarleton State University,Texas,374.0,4.1,3.6,4.1,3.7,3.8,3.9,3.9,3.2,3.3
Taylor University,Indiana,93.0,4.0,2.9,4.4,4.1,3.7,4.1,4.8,3.2,3.9
Teachers College Columbia University,New York,65.0,3.5,4.1,3.5,3.7,3.0,3.1,3.4,3.2,3.6
Post University,Connecticut,38.0,3.6,3.7,3.9,3.6,3.7,3.7,4.2,3.2,3.8
Tennessee Tech University,Tennessee,354.0,3.7,3.6,3.9,3.6,3.5,3.4,4.3,3.2,2.5
Tennessee State University,Tennessee,163.0,3.1,3.0,3.3,3.3,3.4,3.4,2.7,2.5,2.4
Temple University,Pennsylvania,769.0,4.0,3.5,4.3,4.2,4.1,4.1,2.9,3.7,3.8
Texas A&M University at Commerce,Texas,161.0,3.6,2.8,3.6,3.4,3.4,3.4,3.4,3.1,3.0
Texas Tech University,Texas,752.0,4.4,3.4,4.3,4.2,4.1,4.2,3.6,3.9,3.6
Texas Lutheran University,Texas,70.0,3.7,3.2,3.4,3.2,3.3,3.1,3.8,3.0,2.9
Texas Tech University - Health Sciences Center,Texas,5.0,3.2,2.8,2.6,2.8,2.6,3.2,2.8,3.0,3.2
Texas Christian University,Texas,425.0,4.8,4.6,4.6,4.5,4.2,4.4,4.5,3.5,3.8
Texas Southern University,Texas,151.0,3.5,3.6,3.7,3.7,3.7,3.7,3.3,3.2,3.5
Texas Wesleyan University,Texas,52.0,3.7,2.6,3.9,3.7,3.4,3.3,3.5,3.0,3.6
Texas Woman's University,Texas,315.0,3.8,3.8,3.8,3.6,3.2,3.1,4.1,2.9,3.6
Thomas Edison State University,New Jersey,80.0,3.1,3.7,3.5,3.2,2.4,2.5,3.5,2.7,3.6
Thomas Aquinas College,California,19.0,4.3,3.9,3.7,3.0,2.5,3.4,4.7,3.2,2.0
Thiel College,Pennsylvania,34.0,3.3,2.7,3.6,3.4,3.5,3.5,3.9,2.7,2.9
Tougaloo College,Mississippi,5.0,1.8,3.4,3.4,4.4,3.6,3.6,3.2,2.4,2.0
Thomas More University,Kentucky,38.0,3.2,4.1,3.6,3.8,3.2,2.9,4.3,2.4,2.9
Thomas Jefferson University,Pennsylvania,48.0,2.6,3.8,2.9,3.3,2.8,2.4,4.3,2.3,2.3
Touro College,New York,41.0,3.3,4.2,4.0,3.7,2.6,2.9,4.4,2.9,3.9
Transylvania University,Kentucky,48.0,3.6,4.1,3.8,4.1,3.6,3.9,3.5,2.8,3.4
Toccoa Falls College,Georgia,31.0,2.8,3.5,3.6,2.8,2.9,3.2,4.1,2.5,2.4
Trevecca Nazarene University,Tennessee,70.0,3.4,3.0,3.2,3.1,2.6,2.8,3.1,2.3,2.6
Trinity Christian College,Illinois,44.0,3.5,3.8,3.3,3.3,2.6,2.9,4.5,2.5,3.3
Trinity University,Texas,153.0,4.2,4.1,4.2,4.2,3.7,3.6,4.6,2.8,3.7
Trinity College,Connecticut,115.0,3.8,2.8,3.8,4.0,3.5,3.8,3.0,2.8,3.3
Trinity International University,Illinois,20.0,3.0,3.1,3.2,2.9,2.6,2.4,3.4,3.3,3.7
Trine University,Indiana,39.0,3.6,3.0,3.0,3.1,3.3,2.8,3.2,3.1,2.9
Troy University,Alabama,21.0,3.4,3.7,3.4,3.0,2.1,2.2,3.3,2.9,3.4
Truman State University,Missouri,293.0,4.0,2.7,3.7,3.7,3.8,3.5,3.9,2.7,3.1
Tulane University,Louisiana,372.0,4.3,4.7,4.6,4.3,4.2,4.5,3.5,3.4,3.4
Tufts University,Massachusetts,232.0,4.2,4.5,4.3,4.3,4.3,3.9,4.4,4.2,3.8
Tuskegee University,Alabama,59.0,3.0,2.3,3.5,3.9,3.3,3.7,3.3,2.5,2.6
Tusculum University,Tennessee,27.0,3.7,3.2,3.6,3.1,3.1,3.1,3.2,2.6,2.5
Union College,New York,108.0,4.4,3.3,4.3,4.5,4.1,4.3,3.4,3.1,3.4
Union Institute & University,Ohio,3.0,3.3,4.3,4.3,3.7,3.7,3.3,4.3,4.0,4.0
United States Air Force Academy,Colorado,33.0,3.8,3.9,3.2,4.6,3.5,2.5,4.4,2.2,2.3
United States Coast Guard Academy,Connecticut,24.0,4.0,2.9,4.2,4.7,3.8,2.7,5.0,3.4,3.4
United States Merchant Marine Academy,New York,53.0,2.7,3.8,3.0,4.6,3.1,2.6,4.1,1.8,2.8
United States Military Academy,New York,29.0,4.0,3.3,3.6,4.8,3.7,2.5,5.0,2.3,2.9
United States Naval Academy,Maryland,181.0,3.9,4.4,3.3,4.8,3.8,3.0,4.6,2.5,2.7
University of Alabama at Birmingham,Alabama,408.0,3.9,3.8,4.0,4.1,3.5,3.5,3.6,3.0,3.5
University of Akron,Ohio,513.0,3.9,3.5,3.7,3.7,3.6,3.4,2.8,3.2,3.2
University of Alabama,Alabama,1027.0,4.7,4.2,4.5,4.4,4.3,4.4,4.1,3.7,3.7
University of Alaska Anchorage,Alaska,295.0,3.4,3.5,3.3,3.0,2.7,2.6,3.4,2.6,3.1
University of Alaska Fairbanks,Alaska,119.0,3.3,3.6,3.4,3.5,2.9,3.0,3.3,2.2,3.1
University of Alabama in Huntsville,Alabama,369.0,3.5,3.9,3.6,3.9,3.2,2.9,4.2,3.0,3.3
University of Alaska Southeast,Alaska,20.0,3.5,4.2,3.5,3.3,2.4,2.5,4.2,2.6,3.3
University of Arkansas at Little Rock,Arkansas,244.0,3.0,2.8,3.2,3.3,2.8,2.7,2.5,2.7,3.4
University of Arkansas Medical Sciences,Arkansas,7.0,2.3,3.1,2.9,3.0,2.0,1.9,3.5,1.9,2.9
University of Arkansas at Monticello,Arkansas,25.0,3.2,3.3,3.7,3.6,3.2,3.2,4.3,2.8,2.9
University of Baltimore,Maryland,121.0,3.2,3.7,3.4,3.3,2.7,2.6,2.8,2.9,3.8
University of Bridgeport,Connecticut,65.0,3.0,2.8,3.0,3.2,3.0,3.0,3.3,2.6,3.2
University of California Berkeley,California,575.0,4.1,4.3,4.1,4.4,4.1,4.0,2.7,3.5,3.8
UC Irvine,California,482.0,4.4,4.3,4.1,4.1,3.9,3.6,4.7,3.7,4.1
University of Arkansas at Pine Bluff,Arkansas,8.0,3.0,2.5,3.0,2.8,3.9,3.5,1.3,2.3,2.4
University of California Davis,California,733.0,4.3,3.9,4.3,4.1,4.0,3.8,4.4,3.9,3.7
University of California Santa Barbara,California,715.0,4.3,4.8,4.5,4.2,4.2,4.5,3.7,3.6,3.9
University of California Riverside,California,483.0,4.2,3.3,4.2,4.0,3.9,4.0,3.5,3.7,4.0
University of California San Diego,California,656.0,3.8,4.2,3.7,3.9,3.5,3.0,4.3,3.2,3.4
University of California Santa Cruz,California,566.0,4.0,4.3,4.2,3.7,3.5,3.6,3.9,3.3,3.3
University of Central Arkansas,Arkansas,286.0,4.1,4.1,4.1,3.9,3.8,3.8,4.3,3.3,3.1
University of Charleston,West Virginia,24.0,3.3,3.9,3.3,3.4,2.3,2.5,4.4,3.0,2.7
University of Central Florida,Florida,1036.0,4.3,4.3,4.1,4.1,4.1,4.0,4.0,3.6,3.5
University of Cincinnati,Ohio,753.0,4.3,4.0,4.3,4.4,4.1,4.2,3.0,3.3,3.7
University of Central Oklahoma,Oklahoma,458.0,3.8,4.1,4.1,3.8,3.6,3.6,4.2,3.1,3.2
University of Colorado - Boulder,Colorado,621.0,4.5,4.7,4.4,4.0,3.9,4.1,3.7,3.6,3.7
University of Colorado Colorado Springs,Colorado,384.0,3.8,4.1,3.7,3.5,3.1,3.0,4.3,2.8,3.5
University of Dayton,Ohio,497.0,4.6,4.0,4.7,4.5,4.3,4.5,4.2,4.2,3.6
University of Delaware,Delaware,596.0,4.3,4.1,4.2,4.1,4.1,4.2,3.6,3.3,3.5
University of Dallas,Texas,121.0,2.9,3.4,3.8,3.4,3.2,3.5,3.9,2.5,2.8
University of Denver,Colorado,294.0,4.2,4.4,4.0,4.0,3.6,3.6,3.6,2.8,3.3
University of Detroit Mercy,Michigan,118.0,3.4,2.5,3.7,3.7,3.2,2.9,3.7,2.3,2.9
University of Great Falls,Montana,13.0,3.3,3.6,4.1,3.6,3.4,3.5,2.5,2.9,3.8
University of Florida,Florida,725.0,4.4,4.0,4.4,4.4,4.4,4.4,4.2,3.6,4.0
University of Georgia,Georgia,763.0,4.6,4.4,4.5,4.4,4.5,4.5,4.1,4.3,3.7
University of Hartford,Connecticut,274.0,3.1,3.3,3.4,3.4,3.3,3.2,3.2,2.9,3.2
University of Hawaii at Hilo,Hawaii,105.0,3.4,3.7,3.6,3.0,2.9,2.8,3.8,2.8,2.8
University of Evansville,Indiana,99.0,3.5,3.2,3.8,3.7,3.6,3.4,3.6,2.4,3.0
University of Dubuque,Iowa,28.0,4.1,4.0,4.0,3.9,3.5,3.4,4.5,2.9,3.2
The University of Findlay,Ohio,105.0,4.1,3.6,4.0,4.0,3.7,3.4,4.4,2.9,3.4
University of Hawaii at Manoa,Hawaii,421.0,3.0,3.9,3.6,3.2,2.9,3.1,3.3,3.1,3.1
University of Illinois Chicago,Illinois,522.0,3.2,4.2,3.5,3.7,3.3,3.1,2.9,2.9,3.4
University of Idaho,Idaho,209.0,4.1,3.8,4.2,3.9,3.7,3.9,4.3,2.8,3.6
University of Houston,Texas,850.0,3.8,3.2,3.9,4.0,3.7,3.5,2.6,3.6,3.6
University of Indianapolis,Indiana,179.0,3.7,3.7,3.9,4.0,3.3,3.3,3.5,3.0,3.3
University Of Illinois at Urbana - Champaign,Illinois,587.0,4.4,3.7,4.4,4.4,4.3,4.3,3.8,3.7,3.9
University of Maine,Maine,275.0,3.5,3.1,3.5,3.4,3.6,3.6,4.1,2.8,3.3
University of Iowa,Iowa,704.0,4.3,4.2,4.0,3.8,4.0,4.1,3.7,3.6,4.1
American Jewish University,New York,23.0,2.4,2.7,2.1,1.7,1.6,1.7,1.0,2.0,1.9
University of La Verne,California,138.0,4.1,4.0,4.0,3.8,3.4,3.5,4.0,3.1,3.6
University of Maine Augusta,Maine,27.0,3.4,3.5,3.2,3.2,2.5,2.4,3.8,3.1,3.7
University of Maine Fort Kent,Maine,13.0,3.8,3.5,4.4,3.6,3.3,3.5,5.0,2.5,3.6
University of Kentucky,Kentucky,876.0,4.0,3.9,4.0,3.8,3.6,3.7,3.4,3.1,3.2
University of Louisville,Kentucky,458.0,3.8,3.7,3.9,3.9,3.7,3.7,2.8,3.4,3.7
University of Maine at Presque Isle,Maine,19.0,3.5,3.2,3.9,3.4,3.4,2.8,3.8,2.9,4.3
University of Maine Farmington,Maine,70.0,3.3,3.3,3.9,3.3,3.5,3.2,4.1,2.5,3.3
University of Maine Machias,Maine,9.0,2.3,2.6,2.4,2.7,2.2,2.9,3.4,1.9,3.2
Wabash College,Indiana,33.0,4.3,2.6,4.1,4.6,4.2,3.5,4.6,2.9,3.9
Wagner College,New York,94.0,3.7,4.1,3.7,3.9,3.2,3.1,3.5,2.4,2.6
Wake Forest University,North Carolina,91.0,4.6,3.9,4.2,4.6,4.0,3.9,4.5,3.8,4.4
Walden University,Minnesota,66.0,3.3,3.9,3.7,3.5,3.0,3.1,4.0,3.2,3.7
Walla Walla University,Washington,63.0,3.4,3.2,3.9,3.5,3.7,3.5,4.1,2.6,3.7
Warner University,Florida,13.0,2.8,2.1,2.5,2.9,2.4,2.5,4.0,1.9,3.2
Warren Wilson College,North Carolina,42.0,3.7,4.3,4.0,3.5,2.9,3.4,2.9,3.1,2.6
Warner Pacific University,Oregon,16.0,3.4,3.9,3.8,3.3,2.8,3.3,4.3,2.8,2.7
Walsh University,Ohio,55.0,3.9,3.9,3.9,3.6,3.2,3.1,4.3,2.8,2.7
Washburn University,Kansas,179.0,4.1,3.5,4.1,3.8,3.5,3.3,3.6,2.9,3.5
Wartburg College,Iowa,54.0,3.9,3.5,3.7,4.1,3.3,3.4,4.5,2.8,2.5
Washington and Lee University,Virginia,103.0,4.7,3.6,4.5,4.7,4.1,4.4,4.8,3.6,3.9
Washington State University,Washington,600.0,4.4,3.4,4.2,4.0,4.0,4.2,4.2,3.5,3.9
Washington & Jefferson College,Pennsylvania,62.0,3.4,2.9,3.8,4.1,3.5,3.4,3.7,3.1,2.6
Washington College,Maryland,96.0,3.8,2.9,3.7,3.6,3.4,3.2,3.5,3.0,2.8
Washington State University - Spokane,Washington,9.0,4.1,3.9,3.7,3.8,2.9,2.8,4.0,2.7,3.6
Washington State University - Vancouver,Washington,115.0,4.1,4.3,3.9,3.5,3.2,3.3,4.3,3.0,3.6
Wayland Baptist University,Texas,17.0,2.5,2.1,2.5,2.5,2.4,2.5,2.7,2.0,2.8
Webb Institute,New York,7.0,4.4,4.1,4.4,4.9,4.3,4.0,4.6,3.7,4.6
Wayne State College,Nebraska,69.0,3.8,3.2,3.9,3.7,3.7,3.4,4.0,3.0,3.6
Webber International University,Florida,7.0,2.7,3.1,3.3,3.3,3.1,3.3,3.4,2.1,2.6
Waynesburg University,Pennsylvania,49.0,3.4,2.5,3.4,3.3,2.7,2.7,4.6,2.2,3.1
Webster University,Missouri,107.0,3.6,3.9,3.8,3.7,3.0,2.9,4.5,2.8,3.2
Weber State University,Utah,578.0,4.1,4.1,3.9,3.7,3.2,2.9,4.5,3.1,3.9
Wayne State University,Michigan,576.0,3.5,3.9,3.8,3.7,3.5,3.3,3.7,3.3,3.6
Wellesley College,Massachusetts,106.0,4.5,3.8,4.1,4.4,3.9,3.2,4.8,3.4,3.8
Wentworth Institute of Technology,Massachusetts,229.0,3.3,4.4,3.5,4.0,2.9,2.8,3.3,2.3,3.4
Wesleyan College,Georgia,29.0,3.3,3.1,3.2,3.2,3.0,2.7,3.8,2.2,3.2
Wesleyan University,Connecticut,110.0,4.3,3.5,4.4,4.2,4.3,4.2,4.1,4.3,3.7
West Liberty University,Pennsylvania,56.0,3.4,2.6,3.7,3.2,3.2,3.0,4.7,3.1,3.5
West Chester University of Pennsylvania,Pennsylvania,498.0,3.9,4.3,4.1,3.8,3.9,3.8,4.0,3.0,3.2
West Virginia University,West Virginia,552.0,4.2,3.9,4.4,4.1,4.3,4.5,3.6,3.5,3.6
West Virginia University,West Virginia,28.0,3.5,3.7,3.5,3.3,2.8,2.8,4.4,3.0,3.2
West Virginia Wesleyan College,West Virginia,31.0,4.0,3.7,4.1,3.9,3.6,3.7,4.8,2.6,3.0
West Texas A&M University,Texas,158.0,4.0,3.3,3.8,3.5,3.5,3.4,4.4,2.7,3.1
West Virginia State University,West Virginia,52.0,3.7,3.4,3.8,3.2,2.6,2.9,2.4,3.0,2.7
West Virginia University Institute of Technology,West Virginia,28.0,2.5,2.6,3.1,3.0,2.1,2.2,2.6,2.3,3.2
Western Connecticut State University,Connecticut,218.0,3.2,3.1,3.0,3.1,2.9,2.8,3.7,2.6,3.0
Western Carolina University,North Carolina,438.0,4.1,3.9,4.2,3.8,3.6,3.8,4.2,3.2,3.3
Western Illinois University,Illinois,316.0,3.5,3.0,3.8,3.6,3.6,3.6,3.8,3.1,3.0
Western Kentucky University,Kentucky,426.0,4.2,4.0,4.2,3.9,3.8,3.9,4.2,3.7,3.6
McDaniel College,Maryland,76.0,3.8,3.2,3.6,3.6,3.4,3.2,3.6,2.3,2.8
Western Michigan University,Michigan,625.0,4.0,3.9,4.1,3.9,3.9,4.0,3.1,3.3,3.4
University of Montana Western,Montana,15.0,3.5,3.1,3.3,3.3,3.1,3.3,4.3,2.4,2.1
Westfield State University,Massachusetts,233.0,3.4,3.1,3.4,3.3,3.2,3.1,3.9,2.8,2.6
Western New England University,Massachusetts,173.0,4.1,3.2,3.9,3.6,3.6,3.3,4.3,3.0,3.3
